NAME	ADDRESS	DISTRICT	NUMBER	CATEGORY	COMMENTS	USED IN CASE	
A. A. Goldsmith	93NW	NW	93		Same as office address listed under DENTISTS, home address under "Goldsmith" (Not in 2016 edition)		10NW
A. B. Cahn & Co	20E	E	20				11NW
A. B. Muirhead	41EC	EC	41		(Tea merchant)		13NW
A. Marx & Co	36SE	SE	36				14NW
A. W. Faber	29EC	EC	29		(Stationer)		15NW
Aaron, Andrew	1E	E	1				19NW
Abbott, Ruth	38NW	NW	38				20NW
Abbott, Walter	38NW	NW	38				22NW
Aberdeen Navigation Co	26EC	EC	26				23NW
Abernathy, Elmer	86SE	SE	86				25NW
Abernathy, Graham	5E	E	5				26NW
Abrahams, O.L.D.	75SE	SE	75				30NW
Abramoff, Nicoli	20E	E	20		Russian		35NW
Ackerman, L	5SE	SE	5				36NW
Acorn, Philbert	30E	E	30				37NW
Acree, Joseph	47EC	EC	47				42NW
Adair, Hilda	59NW	NW	59				44NW
Adair, M	59NW	NW	59				45NW
Adair, Ronald	59NW	NW	59				46NW
Adam, Sir Henry	1SW	SW	1				89NW
Adams, Harmon	43NW	NW	43				6WC
Adelaide-Southampton Line	15E	E	15				10WC
Admiralty, The	10SW	SW	10				13WC
Adrian, Adrian	41E	E	41				14WC
Agar, Dr. Moore	43NW	NW	43		Listed as 93NW under DOCTORS (office)	11	15WC
Aguirre, Carmen	41SW	SW	41				17WC
Ahern, Geraldine	45E	E	45				18WC
Ahlstrom, Sven	2SE	SE	2		Nordic		21WC
Ailes, Pauline	58E	E	58				22WC
Ainstree, Dr. A.	24NW	NW	24		Listed as 32WC under DOCTORS (office)		23WC
Ainsworth, Cyril	27SW	SW	27				24WC
Al-Baaqee, Yahya	7SW	SW	7		Arabic		25WC
Al-Saud, Abdullah	19SE	SE	19		Arabic	5,12	26WC
Alaio, Rose	53WC	WC	53				27WC
Alavi, Mehdi	14S	S	14		Arabic		28WC
Albany, Upton	11S	S	11				30WC
Albee, Patrick	42E	E	42				31WC
Alberga, Aurelius	9S	S	9				32WC
Alberts, Norman	20S	S	20				38WC
Albrecht, Hermann	1S	S	1		German		43WC
Albrecht, Kurt	65E	E	65		German		48WC
Albright, Rodelinda	70E	E	70				49WC
Albritton, Potsworth	9SW	SW	9				52WC
Alchorn, Corinne	50S	S	50				67WC
Alclair, Jean	40SW	SW	40				70WC
Aldersgate Station	43EC	EC	43		Bug? Not listed under STATIONS		90WC
Aldrich, Thomas	27SE	SE	27				94WC
Aldridge, Hasper	11NW	NW	11				8EC
Aldritt, Pierce & Co	41S	S	41				9EC
Aleck Bros	14S	S	14				10EC
Alexander Ltd	71E	E	71				12EC
Alexander, Thomas	51WC	WC	51				13EC
Alexich, Fedor	35S	S	35		Russian		14EC
Alford & Co	86E	E	86				17EC
Alfrey, Belle	3SE	SE	3				19EC
Algate Station	12EC	EC	12		Bug? Not listed under STATIONS		22EC
Alger, Jacob	16E	E	16				23EC
Algert, Rumson	15S	S	15				24EC
Alhambra Music Hall	25WC	WC	25				28EC
Alison’s	14SE	SE	14				30EC
Allard, Thaddeus	57SE	SE	57				31EC
Allardt, Hendrik	3S	S	3				33EC
Allardyce’s	52NW	NW	52				36EC
Allegro Theatre	94WC	WC	94				37EC
Allen, Courtney	14NW	NW	14			1	38EC
Allen, Richard	1WC	WC	1			1	43EC
Allgood, Johnny	10SE	SE	10				44EC
Allmond, Etta	28S	S	28				45EC
Allsworth, Cosgrove	4SW	SW	4				62EC
Alms House	20E	E	20				70EC
Alpert, Elaine	81EC	EC	81				76EC
Alpha Inn	65WC	WC	65				93EC
Alsup, Mandy	1SW	SW	1				3SE
Altemus Bros	82E	E	82				4SE
Althaus, Derrick	13SE	SE	13				9SE
Alzofon, Evita	6S	S	6				10SE
Amaral, Ida	33SE	SE	33				13SE
Amateur Athletic Assoc	8NW	NW	8		(Sporting societies)		16SE
Amateur Mendicant Society	50SE	SE	50				28SE
Amber & Co	35WC	WC	35				29SE
Amberg, Rollin	17S	S	17				37SE
Amberley, Josiah	40WC	WC	40				53SE
Amberley, Melinda	84EC	EC	84				3SW
Amberson & Co	2E	E	2				4SW
Ambinder, Henry	27EC	EC	27				5SW
Ambrose & Birwick	45E	E	45				6SW
Amburn, Sissy	16SE	SE	16				7SW
American Embassy	18SW	SW	18				8SW
American Exchange	16WC	WC	16				9SW
Ames, Edwin	17SE	SE	17				10SW
Ames, Frederick	48NW	NW	48				11SW
Amey, Liza	37S	S	37				12SW
Ammar, David	29SW	SW	29				13SW
Amoral, Gina	74E	E	74				14SW
Amsden, Michael	31S	S	31				15SW
Anacker, Gus	35SE	SE	35				16SW
Anasoff, Spero	79E	E	79				17SW
Anchor, The	23E	E	23				18SW
Anchor, Dick	41SE	SE	41				20SW
Andersen, Byron	27EC	EC	27				23SW
Andreu, Etienne	60SW	SW	60				32SW
Andrews, Lawrence	1EC	EC	1				33SW
Angel, The	75E	E	75				35SW
Angel, Hosmer	7SE	SE	7				36SW
Angel, Robert	49SW	SW	49				37SW
Angelini, Giacomo	28E	E	28				38SW
Anglo-Indian Club	67WC	WC	67				45SW
Anolik, Casper	84E	E	84				47SW
Anasari, M.A	4NW	NW	4				54SW
Anselmo, Lazo	45S	S	45				57SW
Anspatch, Willard	58SE	SE	58				59SW
Apollo Theatre	19NW	NW	19				60SW
Appenrodt’s German Rest	16EC	EC	16				69SW
Appleby, Sam	66SE	SE	66				71SW
Aragon, Jose	6SE	SE	6				88SW
Arbegast, Paul	71SE	SE	71				
Arbuckle, Paddy	15NW	NW	15				
Archbishop’s Park	90SE	SE	90		(Parks)		
Arctic Fur Store	68WC	WC	68				
Arden, Kenneth	41WC	WC	41				
Ardvark, Artemus	61SE	SE	61				
Arellano, Rudolpho	34E	E	34				
Arlington House	42E	E	42				
Ambrecht & Co	32NW	NW	32				
Armbruster, Ashley	9NW	NW	9				
Armitage, Charles	47NW	NW	47				
Armitage, Joseph	41SW	SW	41				
Armitage’s Gallery	21NW	NW	21				
Armstead, Gen. Farnsworth	27NW	NW	27			8,12	
Army & Navy Store	29EC	EC	29				
Arneson, T	7NW	NW	7				
Arnold, Benson	53EC	EC	53				
Arterberry, Phineas	18SW	SW	18				
Artson, Beata	21SW	SW	21				
Ash, Ephie	75SE	SE	75				
Ashburn, Charles	61SW	SW	61				
Aspic, Jonathan	79EC	EC	79				
Asquith, H	4EC	EC	4				
Astor, Peter	45WC	WC	45				
Atkinson, Harry	12SE	SE	12				
Aton, Uris	89E	E	89				
Attard, Charles	12WC	WC	12		Listed as 34EC under BARRISTERS (office)	7	
Aubry, Wilson	54EC	EC	54				
Auckland, Sir Herbert	62SW	SW	62				
Armitage’s Gallery	21NW	NW	21	AUCTION HOUSES			
Bonham’s	12NW	NW	12	AUCTION HOUSES			
Christie’s	87SW	SW	87	AUCTION HOUSES			
Gartling’s Art Salon	75WC	WC	75	AUCTION HOUSES			
Sotheby’s	78NW	NW	78	AUCTION HOUSES			
